provincia,recaudacion 2015,recaudacion 2016,recaudacion 2017,recaudacion 2018,recaudacion 2019,recaudacion 2020,recaudacion 2021,recaudacion 2022,recaudacion 2023,recaudacion 2024,region
Dajabón,116.409081,117.67019196,131.20165724,159.25695729,207.16817611000002,190.94445108000002,263.53737729,303.40164181,365.07309669,396.32619783999996,Norte
Duarte,690.4336074099999,807.94055988,900.03994041,1095.75126733,1324.98767416,1084.15976539,2017.9172709399995,2187.77231985,2512.37660049,2811.05381205,Norte
Espaillat,782.58897748,781.0323249099999,1025.00582355,1111.22772879,1391.309464,1280.5163086700002,2213.0480923900013,2239.4566993000003,2463.77870515,2738.74686037,Norte
Hermanas Mirabal,184.91929508,212.82175489,235.09342116,264.5082317,337.46389587,304.95361814,577.7402927400007,688.9488491000001,760.49724663,958.1847585700001,Norte
La Vega,1327.08689295,1458.30193848,1657.85609053,2007.19850179,2364.43577642,2110.8376577100003,4166.117555199999,4197.39466775,4871.964027970001,5270.655522489999,Norte
María Trinidad Sánchez,210.80080436,227.17448448,247.09428563999998,309.18575168,364.52928257,245.97165338,579.06334574,687.3263639099999,789.02272178,792.6909534199999,Norte
Monseñor Nouel,613.64784341,672.3656620700001,732.87112372,871.75594708,1033.16149183,955.32403808,1350.21091646,1643.23758533,1803.1861120899998,1701.25523903,Norte
Montecristi,385.65119265,650.49156798,539.65882229,383.67686009,597.56811797,624.7216811799999,1194.40488831,1488.1701891500002,1420.75882877,1284.7798115,Norte
Puerto Plata,6460.91634992,7356.49789946,8253.06171953,9107.48707933,10610.28397842,11101.11645072,16217.365773029995,17028.67230634,18227.05226541,17693.30564992,Norte
Samaná,353.28971588999997,350.22269512,420.1859746,564.94368162,700.67371281,429.40233457,828.7699873500001,1071.2676594,1222.26741924,1273.38184451,Norte
Sánchez Ramírez,206.79342821,212.02514795,227.35878909000002,297.98075489999997,375.15510352999996,293.67910845999995,556.2897668999999,705.89415411,886.0191865700001,918.90509627,Norte
Santiago de Los Caballeros,12406.24365437,13915.22270675,15026.37317276,17181.783504209998,20605.05135554,18870.37893853,30973.188178300006,33587.160551040004,37539.7111305,40776.920453290004,Norte
Santiago Rodríguez,444.44765094999997,361.73125052,438.01968508,411.13271643,685.1003031900001,953.9091465700001,1014.31300977,1661.62813146,1769.4264795699999,1561.81191818,Norte
Valverde Mao,322.97585631,336.40626038,398.22431449,484.36493581999997,670.5025908099999,481.49875633,843.3354868299999,800.26691623,875.9666745599999,935.8440434299999,Norte
Distrito Nacional,250795.04405604998,275065.23184889,302137.76019122,336275.72366561,370464.62750505,345917.64729699,460783.27148895,485048.76033197,567750.1309340601,617166.48480596,
El Seibo,58.82642354,69.1257763,77.54362848999999,105.55868984,109.60181762,88.15694947,203.38004903999996,231.70388862000001,269.95583830000004,207.80117156,
Hato Mayor,99.64825166,109.8947887,134.4491029,142.25263864,160.97883453999998,107.48553272,183.00118308,223.44570324,309.61881101999995,260.46558051,
La Altagracia,11167.4439616,11759.672112459999,12869.31745586,15239.296817120001,16839.20046204,8309.13587958,13388.184810389997,20291.670762259997,26588.353928369997,33380.11679376,
La Romana,3048.72251528,2935.50414349,4213.20089567,4443.89726263,5400.3688707,4189.276555840001,5897.237456950001,6842.50196235,8559.36632755,10484.404266459998,
Monte Plata,81.68933724,106.56166071,101.85934729,120.51975923,135.61920087000001,122.63582054000001,215.34205124999997,248.42412774000002,247.98673368000001,238.58783925999998,
San Pedro de Macorís,933.0171570900001,1031.3220376900001,1313.1132851300001,1500.268638,2341.77845404,1991.82661178,2713.8840275999996,3358.25716315,3457.56275813,3543.93411816,
Santo Domingo,25785.87941301,29062.07358114,30038.21878586,32614.027414490003,39201.17836466,35409.995434540004,50755.95054958001,60725.474252800006,69130.98610207,74341.02968898,
Azua,136.15211394,248.66763809,156.22111628,168.97451333,206.91130766,178.33401494999998,271.08826988,366.75566872,412.60608914,442.90289912000003,
Bahoruco,48.50553329,34.263251700000005,41.99565876,50.6313656,59.36940563,44.19053485,80.98502002,80.67669151999999,88.74352923000001,90.58200529999999,
Barahona,196.29038262999998,206.13693533,203.0346984,246.08268230000002,318.60718766,235.30426327,419.83176318999995,406.15129074000004,467.40830297,525.93660602,
Elías Piña,11.34879993,13.623049550000001,14.79834284,19.270617100000003,23.67850418,21.650858449999998,33.34326039,32.1258392,40.22467636,81.16441753,
Independencia,9.24834907,12.606765970000001,21.794947399999998,15.544449279999998,43.49434794,24.30918389,41.380652340000005,44.07074613,58.19497172,55.12459174,
Pedernales,25.52399962,12.87156386,9.74700065,11.66272332,14.73026484,9.34224964,34.57164923,36.5117725,47.815135729999994,60.150284649999996,
Peravia,503.76638560000004,582.75878375,686.99773565,816.05155887,1042.72854914,882.39966183,1345.47922748,1347.44149166,3038.54026461,3819.4905638699997,
San Cristóbal,2928.79110335,3557.22858634,3592.89325859,4190.89141563,4847.964932350001,6329.03452391,7515.723181979999,8543.05639305,9456.652551129999,21713.728895689997,
San José de Ocoa,48.65265804,53.197223990000005,64.95486863,72.91322633,86.16775341,54.156353810000006,120.78295263,118.70268958,125.83690659999999,120.91602312,
San Juan de la Maguana,220.47606508,226.02868072,296.23860793,345.17941462,511.36398186,327.34860557,647.61727006,575.77867733,731.80058149,812.56612918,
