provincia,recaudacion 2024,region,total region 2024,participacion 2024
Dajabón,396.32619783999996,Norte,79113.86216086998,0.0050095670596148
Duarte,2811.05381205,Norte,79113.86216086998,0.035531747980322444
Espaillat,2738.74686037,Norte,79113.86216086998,0.03461778739610812
Hermanas Mirabal,958.1847585700001,Norte,79113.86216086998,0.01211146482296148
La Vega,5270.655522489999,Norte,79113.86216086998,0.06662113792109729
María Trinidad Sánchez,792.6909534199999,Norte,79113.86216086998,0.010019621489444462
Monseñor Nouel,1701.25523903,Norte,79113.86216086998,0.021503883043538827
Montecristi,1284.7798115,Norte,79113.86216086998,0.016239629521404623
Puerto Plata,17693.30564992,Norte,79113.86216086998,0.22364355836834846
Samaná,1273.38184451,Norte,79113.86216086998,0.016095559105946667
Sánchez Ramírez,918.90509627,Norte,79113.86216086998,0.011614969503087842
Santiago de Los Caballeros,40776.920453290004,Norte,79113.86216086998,0.515420677736277
Santiago Rodríguez,1561.81191818,Norte,79113.86216086998,0.01974131808916388
Valverde Mao,935.8440434299999,Norte,79113.86216086998,0.011829077962684422
